tconst,primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes
tt0017743,Chang: A Drama of the Wilderness,1927,69,"Adventure,Documentary,Drama",6.8,1139
tt0017765,College,1927,66,"Comedy,Drama,Sport",6.9,5546
tt0017825,Downhill,1927,110,"Adventure,Drama,Thriller",6.0,3145
tt0017843,Easy Virtue,1927,80,"Romance,Thriller",5.4,3111
tt0017925,The General,1926,78,"Action,Adventure,Comedy",8.1,99419
tt0017961,Happiness,1935,95,"Comedy,Drama",7.3,1206
tt0018033,It,1927,72,"Comedy,Romance",7.2,3641
tt0018037,The Jazz Singer,1927,88,"Drama,Music,Musical",6.4,11208
tt0018051,The Kid Brother,1927,82,"Comedy,Drama,Family",7.6,4894
tt0018054,The King of Kings,1927,160,"Biography,Drama,Family",7.4,2461
tt0018066,The End of St. Petersburg,1927,85,Drama,7.3,1881
tt0018097,London After Midnight,1927,69,"Horror,Mystery,Thriller",6.7,1489
tt0018107,Love,1927,82,"Drama,Romance",6.8,1220
tt0018192,Napoleon,1927,330,"Biography,Drama,History",8.2,9010
tt0018217,October (Ten Days that Shook the World),1928,95,"Drama,History",7.4,8553
tt0018311,The Red Mill,1927,74,"Comedy,Romance",6.8,1526
tt0018328,The Ring,1927,89,"Drama,Romance,Sport",6.1,4006
tt0018379,7th Heaven,1927,110,"Drama,Romance",7.6,4247
tt0018440,Spring Fever,1927,78,Comedy,6.5,1083
tt0018451,The Student Prince in Old Heidelberg,1927,106,"Drama,Romance",7.6,1683
tt0018455,Sunrise,1927,94,"Drama,Romance",8.1,54305
tt0018471,Tell It to the Marines,1926,103,"Comedy,Drama,Romance",7.1,1671
tt0018505,Bed and Sofa,1927,86,"Comedy,Drama",7.3,1351
tt0018515,Two Arabian Knights,1927,92,"Adventure,Comedy,Romance",6.6,1163
tt0018526,Underworld,1927,80,"Crime,Drama,Film-Noir",7.5,3544
tt0018528,The Unknown,1927,68,"Drama,Horror,Romance",7.7,9394
tt0018578,Wings,1927,144,"Action,Drama,Romance",7.5,14799
tt0018618,Across to Singapore,1928,85,"Crime,Drama,Romance",6.2,1214
tt0018684,Beggars of Life,1928,84,"Adventure,Crime,Drama",7.4,1354
tt0018737,Pandora's Box,1929,109,"Crime,Drama,Romance",7.7,12034
tt0018742,The Cameraman,1928,76,"Comedy,Drama,Family",8.0,13399
tt0018756,Champagne,1928,86,Comedy,5.4,2741
tt0018770,The Fall of the House of Usher,1928,72,"Drama,Fantasy,Horror",7.3,4581
tt0018773,The Circus,1928,72,"Comedy,Family,Romance",8.1,36477
tt0018806,The Crowd,1928,98,"Drama,Romance",8.1,9352
tt0018839,The Docks of New York,1928,76,"Crime,Drama,Film-Noir",7.5,5128
tt0018876,The Farmer's Wife,1928,129,"Comedy,Drama,Romance",5.8,3186
tt0019071,The Last Command,1928,88,"Drama,History,Romance",8.0,4619
